date,total_pnl,total_volume,win_rate,trade_count,sentiment
2024-05-21,7289.397571999999,1100948.59,0.112,125,Greed
2024-05-22,0.0,44995.29,0.0,6,Greed
2024-05-23,413.347329,401850.6,0.4461538461538462,325,Greed
2024-05-24,821.949278,50811.899999999994,1.0,2,Greed
2024-05-25,14.126038999999999,29991.129999999997,0.3125,16,Greed
2024-05-26,778.6839,53976.67,0.25,16,Greed
2024-05-27,1129.35587,151115.72,0.35856573705179284,251,Greed
2024-05-29,277.791953,84268.76,0.4146341463414634,164,Greed
2024-05-30,20.951433,2838.09,0.7142857142857143,7,Greed
2024-05-31,25.35812,3636.14,0.3076923076923077,13,Greed
2024-06-01,91.510419,12834.62,0.36,25,Greed
2024-06-02,192.906947,29464.51,0.3655913978494624,93,Greed
2024-06-03,562.808208,21466.86,0.6285714285714286,70,Greed
2024-06-04,52.211438,24243.41,0.4716981132075472,53,Greed
2024-06-05,56.055506,25350.77,0.2962962962962963,54,Greed
2024-06-06,274.173187,137557.76,0.42735042735042733,234,Greed
2024-06-07,8902.467416,1098588.76,0.4,440,Greed
2024-06-08,129.13883900000002,97351.88,0.27586206896551724,29,Greed
2024-06-09,0.0,22410.22,0.0,17,Greed
2024-06-10,31.266804999999998,46587.93,0.33962264150943394,53,Greed
2024-06-11,4320.631811,373279.92,0.13821138211382114,123,Greed
2024-06-12,-21886.531493,193407.96,0.08267716535433071,254,Greed
2024-06-13,6632.757115,132577.22,0.24050632911392406,79,Greed
2024-06-14,10258.592609,139868.66,0.4838709677419355,31,Greed
2024-06-15,3369.958346,718350.25,0.48717948717948717,78,Greed
2024-06-16,0.0,25235.079999999998,0.0,11,Greed
2024-06-17,10599.502375,368380.12,0.6578947368421053,38,Greed
2024-06-18,282.57636,263314.79,0.16,25,Greed
2024-06-19,4887.656944,417071.12,0.5081967213114754,61,Greed
2024-06-20,57478.456026,207990.8,0.20512820512820512,39,Greed
2024-06-21,773.5582039999999,176264.49,0.0375,80,Greed
2024-06-23,0.0,1792.12,0.0,5,Greed
2024-06-25,4869.353105,103099.08,0.22448979591836735,49,Fear
2024-06-27,0.0,130486.95,0.0,30,Fear
2024-06-29,6150.326145,280095.11,0.32,75,Fear
2024-07-04,0.0,430568.01,0.0,25,Fear
2024-07-05,0.0,272289.89,0.0,32,Fear
2024-07-06,108.87217799999999,2490.17,0.2916666666666667,24,Fear
2024-07-07,61.428942,498.75,1.0,10,Fear
2024-07-08,0.0,497.64,0.0,1,Fear
2024-07-09,648.984412,2736.45,1.0,15,Fear
2024-07-10,11977.734907,687900.21,0.6785714285714286,56,Fear
2024-07-11,1876.812082,169887.02,0.47368421052631576,19,Fear
2024-07-12,1412.314654,89582.97,0.47368421052631576,19,Fear
2024-07-13,2913.617837,139189.19,1.0,17,Fear
2024-07-14,0.0,84001.13,0.0,7,Fear
2024-07-16,0.0,144000.57,0.0,22,Greed
2024-07-17,1859.269477,626005.53,0.4131054131054131,351,Greed
2024-07-18,3803.884311,649704.85,0.8,60,Greed
2024-07-19,2155.891114,150269.42,0.5217391304347826,23,Greed
2024-07-20,2299.169566,244362.21,0.12406015037593984,266,Greed
2024-07-21,-2960.716887,234307.46,0.046875,448,Greed
2024-07-22,1517.119876,304213.8,0.14285714285714285,154,Greed
2024-07-23,89890.302206,358526.54,0.8891891891891892,370,Greed
2024-07-24,625.561479,69207.93,0.2,90,Greed
2024-07-25,916.7382600000001,528555.31,0.1282051282051282,78,Greed
2024-07-26,2766.513113,548587.65,0.40131578947368424,152,Greed
2024-07-27,6400.623656,905199.75,0.7368421052631579,57,Greed
2024-07-28,587.29903,43254.68,0.75,16,Greed
2024-07-29,330.80445399999996,327199.14,0.41025641025641024,39,Greed
2024-07-30,0.0,36006.47,0.0,6,Greed
2024-07-31,765.690884,84506.54,0.32558139534883723,43,Greed
2024-08-02,782.3681909999999,396320.37,0.2698412698412698,63,Greed
2024-08-03,464.1897,290532.86,0.02702702702702703,37,Fear
2024-08-04,-122672.000883,1207744.07,0.023622047244094488,127,Fear
2024-08-05,-13013.665169,420495.4,0.4125,80,Fear
2024-08-06,267.318048,61478.38,0.12149532710280374,107,Fear
2024-08-07,188.789255,2492.77,0.30303030303030304,33,Fear
2024-08-08,-40.712216999999995,16299.35,0.0,9,Fear
2024-08-10,0.0,11339.29,0.0,88,Fear
2024-08-11,847.7766200000001,44230.21,0.16666666666666666,24,Fear
2024-08-12,858.6705000000001,54167.32,0.125,48,Fear
2024-08-13,212.08102,20797.87,0.34782608695652173,23,Fear
2024-08-14,2168.9015130000003,66710.03,0.2,25,Fear
2024-08-15,0.0,1522.3700000000001,0.0,12,Fear
2024-08-16,825.230544,166382.84,0.08571428571428572,35,Fear
2024-08-17,-288.283113,30248.96,0.0,30,Fear
2024-08-18,307.201888,62804.48,0.8,15,Fear
